Timestamp,Where did you hear about this survey?,I understand that my responses in this survey will be used for research purposes.,Gender,Race,Age,If you are currently in school: which best describes your current studies?,If you are not currently in school: what is the highest degree you hold?,Which category best describes your major?,What school do you attend?,How many hackathons have you attended?,How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Good team dynamic],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Prestige of institution],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Availability of places to sleep/showers],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Value of prizes],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Mentorship],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Ability to put final project on resume],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Networking opportunities (good sponsors)],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Quality of free food/swag],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Low cost of attendance],How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Diverse group of attendees],What is your preferred length for a hackathon?,Have you ever worked on a hackathon project after the end of the hackathon?,Have you stayed in touch with people you've met at hackathons?,Would you rather...,"Do you identify as a ""hacker?""",How many members does your ideal hackathon team have?,Have you ever received an interview as a result of attending a hackathon?,What types of hackathons have you attended?,I know that final exams are in full swing and you're probably taking this survey to procrastinate. Do you have the time to answer long answer questions?,,,,,,,,,
2016/12/08 2:59:42 PM EST,HackMcGill,Yes,Male,Caucasian,20,Undergraduate student (2nd year),,Computer Science (or related fields like Software Engineering),University of Auckland,1,4,3,5,3,4,4,5,4,4,2,24h <= length < 36h,No,Yes,Be the most experienced member of your team,No,4,No,University hackathon,"No, but I will anyways",,,,,,,,,
2016/12/08 3:02:26 PM EST,Ladies Storm Hackathons,Yes,Female,Caucasian,20,Undergraduate student (3rd year),,Computer Science (or related fields like Software Engineering),The University of Texas at Austin ,2,4,3,4,2,4,3,5,4,5,4,12h <= length < 24h,No,"More or less (i.e. added them on Facebook, creep them occasionally)",Be the least experienced member of your team,No,3,Yes,University hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:02:32 PM EST,Ladies Storm Hackathons,Yes,Female,Caucasian,20,Undergraduate student (3rd year),High school diploma,Computer Science (or related fields like Software Engineering),Boston University,5+,4,4,2,2,5,5,4,3,4,2,12h <= length < 24h,No,"More or less (i.e. added them on Facebook, creep them occasionally)",Be the least experienced member of your team,Yes,4,Yes,University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:02:37 PM EST,Ladies Storm Hackathons,Yes,Female,Caucasian,20,Undergraduate student (3rd year),,Computer Science (or related fields like Software Engineering),,5+,4,2,4,1,4,2,5,4,5,5,24h <= length < 36h,Yes,Yes,Be the least experienced member of your team,Yes,4,Yes,University hackathon;Corporate hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:03:13 PM EST,Ladies Storm Hackathons,Yes,Female,South East Asian,21,Undergraduate student (4th year),,Computer Science (or related fields like Software Engineering),UMD - College Park,3,4,1,3,2,1,2,2,3,5,2,24h <= length < 36h,No,"More or less (i.e. added them on Facebook, creep them occasionally)",Be the least experienced member of your team,No,4,No,University hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:07:13 PM EST,Ladies Storm Hackathons,Yes,Male,South East Asian,20,Undergraduate student (3rd year),High school diploma,Computer Science (or related fields like Software Engineering),Stony Brook University,5+,5,1,3,4,4,3,3,3,1,2,36h <= length < 48h,Yes,Yes,Be the least experienced member of your team,Yes,3,Yes,University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon,"No, but I will anyways",,,,,,,,,
2016/12/08 3:07:28 PM EST,Hackathon Hackers,Yes,Male,Caucasian,20,Undergraduate student (3rd year),,Computer Science (or related fields like Software Engineering),McGill University,4,4,3,3,2,5,4,5,4,5,3,24h <= length < 36h,Yes,Yes,Be the least experienced member of your team,Yes,4,No,University hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:08:22 PM EST,Hackathon Hackers,Yes,Male,South East Asian,22,Undergraduate student (5th+ year),High school diploma,Computer Science (or related fields like Software Engineering),Oakland University,5+,5,5,2,1,5,5,5,5,5,5,24h <= length < 36h,Yes,Yes,Be the most experienced member of your team,Yes,4,Yes,University hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:08:52 PM EST,Hackathon Hackers,Yes,Male,South East Asian,22,Undergraduate student (5th+ year),,Computer Science (or related fields like Software Engineering),University of Toronto St. George,5+,4,4,4,4,4,4,4,5,5,3,24h <= length < 36h,No,Yes,Be the most experienced member of your team,No,4,No,University hackathon;Corporate hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
2016/12/08 3:09:34 PM EST,Hackathon Hackers,Yes,Female,South East Asian,18,Undergraduate student (1st year),High school diploma,Computer Science (or related fields like Software Engineering),UC Berkeley,1,5,3,4,3,5,5,5,5,3,5,12h <= length < 24h,No,"More or less (i.e. added them on Facebook, creep them occasionally)",Be the least experienced member of your team,No,3,No,University hackathon,"No, END THIS SURVEY NOW",,,,,,,,,
